"bog","plantX","plantY"
"CMF",10246,10677
"CMF",10620,8774
"COL",652,6600
"COL",698,5708
"COL",705,8904
"COL",733,7589
"COL",823,9619
"COL",1422,4794
"COL",1625,2708
"COL",1868,10430
"COL",1938,8232
"COL",1950,203
"COL",1981,6023
"COL",1990,2961
"COL",2002,8870
"COL",2025,6935
"COL",2047,1963
"COL",2326,5196
"COL",2628,2270
"COL",2733,4267
"COL",2759,8656
"COL",2795,2795
"COL",2850,5920
"COL",2877,3598
"COL",3022,7681
"COL",3090,4724
"COL",3164,7073
"COL",3330,10082
"COL",3635,1270
"COL",3796,7823
"COL",3966,7278
"COL",4068,4958
"COL",4075,10749
"COL",4133,4043
"COL",4197,9928
"COL",4212,6339
"COL",4245,3136
"COL",4356,9102
"COL",4499,8903
"COL",4627,2673
"COL",4712,7140
"COL",4885,6033
"COL",4973,4893
"COL",4976,6455
"COL",5000,550
"COL",5134,3801
"COL",5230,2778
"COL",5432,7916
"COL",5607,6275
"COL",5705,10125
"COL",5808,4839
"COL",5944,1543
"COL",6020,8954
"COL",6108,7646
"COL",6154,3928
"COL",6237,1394
"COL",6375,3416
"COL",6391,8802
"COL",6673,2906
